Volttron Point Name,Register Name,Address,Type,Units,Writable,Transform
Serial,serial,40001,uint32,SERIAL,TRUE,
Freq,freq,40025,uint32,Hz,TRUE,
Vln_a,vln_a,40100,uint16,Volts,TRUE,scale(0.1)
Vln_avg,vln_avg,40103,uint16,Volts,TRUE,
Vll_avg,vll_avg,40107,uint16,Volts,TRUE,scale(0.1)
I_a,i_a,40108,uint16,Amps,TRUE,scale(1)
I_b,i_b,40109,uint16,Amps,TRUE,scale(1)
I_c,i_c,40110,uint16,Amps,TRUE,scale(1)
I_avg,i_avg,40111,uint16,Amps,TRUE,scale(0.1)
kW sum,kw_sum,40120,int16,kW,TRUE,scale(0.1)
kVAR sum,kvar_sum,40121,int16,kVAR,TRUE,scale(1.0)
kW peak demand,kw_peak_demand,40133,int16,kW,TRUE,scale(0.1)
kWh del,kwh_del,40138,uint32,kWh,TRUE,mod10k(True)
kWh rec,kwh_rec,40140,uint32,kWh,TRUE,mod10k(True)
kVARh del,kvar_del,40142,uint32,kVARh,TRUE,scale(1.0)
kVARh rec,kvar_rec,40144,uint32,kVARh,TRUE,scale(1.0)
kVARh del+rec,kvarh_del_p_rec,40146,uint32,kVARh,TRUE,scale(1.0)
PPS,prog_power_scale,44015,uint16,kVAR,TRUE,
Demand sub interval,demand_sub_interval,44016,uint16,interval,TRUE,