Volttron Point Name,Register Name,Address,Type,Units,Writable
Active Power Total,active_power_total,0x200,float,kW,TRUE
Reactive Power Total,reactive_power_total,0x202,float,kVAR,TRUE
Apparent Power Total,apparent_power_total,0x204,float,kVA,TRUE
Voltage Average,voltage_average,0x206,float,V,TRUE
Current Average,current_average,0x20A,float,A,TRUE
Voltage AB,voltage_ab,0x226,float,V,TRUE
Current A,current_a,0x22C,float,A,TRUE
Little Endian Mode,little_endian_mode,0x51A,uint16,None,TRUE
Serial Baud Rate,serial_baud_rate,0x601,uint16,None,TRUE
Serial Commit,serial_commit,0x605,uint16,None,TRUE