REFERENCE POINT,Volttron Point Name,Units,Unit Details,Modbus Register,Writable,Point Address,Default Value,Notes,Variance
/Devices/Shirley-MA/North/Inverters/2/Meter/VA,Inverters.2.Meter.VA,VA,,>h,FALSE,40153,,AC Apparent Power,
/Devices/Shirley-MA/North/Inverters/2/Meter/VAphA,Inverters.2.Meter.VAphA,VA,,>h,FALSE,40154,,,
/Devices/Shirley-MA/North/Inverters/2/Meter/VAphB,Inverters.2.Meter.VAphB,VA,,>h,FALSE,40155,,,
/Devices/Shirley-MA/North/Inverters/2/Meter/VAphC,Inverters.2.Meter.VAphC,VA,,>h,FALSE,40156,,,
/Devices/Shirley-MA/North/Inverters/2/Meter/VA_SF,Inverters.2.Meter.VA_SF,,,>H,FALSE,40157,,Apparent Power scale factor,
/Devices/Shirley-MA/North/Inverters/2/Meter/VAR,Inverters.2.Meter.VAR,var,,>h,FALSE,40158,,Reactive Power,
/Devices/Shirley-MA/North/Inverters/2/Meter/VARphA,Inverters.2.Meter.VARphA,var,,>h,FALSE,40159,,,
/Devices/Shirley-MA/North/Inverters/2/Meter/VARphB,Inverters.2.Meter.VARphB,var,,>h,FALSE,40160,,,
/Devices/Shirley-MA/North/Inverters/2/Meter/VARphC,Inverters.2.Meter.VARphC,var,,>h,FALSE,40161,,,
/Devices/Shirley-MA/North/Inverters/2/Meter/PF,Inverters.2.Meter.PF,Pct,,>h,FALSE,40163,,Power Factor,
/Devices/Shirley-MA/North/Inverters/2/Meter/PFphA,Inverters.2.Meter.PFphA,Pct,,>h,FALSE,40164,,,
/Devices/Shirley-MA/North/Inverters/2/Meter/PFphB,Inverters.2.Meter.PFphB,Pct,,>h,FALSE,40165,,,
/Devices/Shirley-MA/North/Inverters/2/Meter/PFphC,Inverters.2.Meter.PFphC,Pct,,>h,FALSE,40166,,,
/Devices/Shirley-MA/North/Inverters/2/Meter/PF_SF,Inverters.2.Meter.PF_SF,,,>H,FALSE,40167,,Power Factor scale factor,
/Devices/Shirley-MA/North/Inverters/2/Meter/TotWhExp,Inverters.2.Meter.TotWhExp,Wh,,>I,FALSE,40168,,Total Real Energy Exported,
/Devices/Shirley-MA/North/Inverters/2/Meter/TotWhExpPhA,Inverters.2.Meter.TotWhExpPhA,Wh,,>I,FALSE,40170,,,
/Devices/Shirley-MA/North/Inverters/2/Meter/TotWhExpPhB,Inverters.2.Meter.TotWhExpPhB,Wh,,>I,FALSE,40172,,,
/Devices/Shirley-MA/North/Inverters/2/Meter/TotWhExpPhC,Inverters.2.Meter.TotWhExpPhC,Wh,,>I,FALSE,40174,,,
/Devices/Shirley-MA/North/Inverters/2/Meter/TotWhImp,Inverters.2.Meter.TotWhImp,Wh,,>I,FALSE,40176,,Total Real Energy Imported,
/Devices/Shirley-MA/North/Inverters/2/Meter/TotWhImpPhA,Inverters.2.Meter.TotWhImpPhA,Wh,,>I,FALSE,40178,,,
/Devices/Shirley-MA/North/Inverters/2/Meter/TotWhImpPhB,Inverters.2.Meter.TotWhImpPhB,Wh,,>I,FALSE,40180,,,
/Devices/Shirley-MA/North/Inverters/2/Meter/TotWhImpPhC,Inverters.2.Meter.TotWhImpPhC,Wh,,>I,FALSE,40182,,,
/Devices/Shirley-MA/North/Inverters/2/Meter/TotWH_SF,Inverters.2.Meter.TotWH_SF,,,>H,FALSE,40184,,Real Energy scale factor,
/Devices/Shirley-MA/North/Inverters/2/Meter/TotVAhExp,Inverters.2.Meter.TotVAhExp,VAh,,>I,FALSE,40185,,Total Apparent Energy Exported,
/Devices/Shirley-MA/North/Inverters/2/Meter/TotVAhExpPhA,Inverters.2.Meter.TotVAhExpPhA,VAh,,>I,FALSE,40187,,,
/Devices/Shirley-MA/North/Inverters/2/Meter/TotVAhExpPhB,Inverters.2.Meter.TotVAhExpPhB,VAh,,>I,FALSE,40189,,,
/Devices/Shirley-MA/North/Inverters/2/Meter/TotVAhExpPhC,Inverters.2.Meter.TotVAhExpPhC,VAh,,>I,FALSE,40191,,,
/Devices/Shirley-MA/North/Inverters/2/Meter/TotVAhImp,Inverters.2.Meter.TotVAhImp,VAh,,>I,FALSE,40193,,Total Apparent Energy Imported,
/Devices/Shirley-MA/North/Inverters/2/Meter/TotVAhImpPhA,Inverters.2.Meter.TotVAhImpPhA,VAh,,>I,FALSE,40195,,,
/Devices/Shirley-MA/North/Inverters/2/Meter/TotVAhImpPhB,Inverters.2.Meter.TotVAhImpPhB,VAh,,>I,FALSE,40197,,,
/Devices/Shirley-MA/North/Inverters/2/Meter/TotVAhImpPhC,Inverters.2.Meter.TotVAhImpPhC,VAh,,>I,FALSE,40199,,,
/Devices/Shirley-MA/North/Inverters/2/Meter/TotVArhImpQ1,Inverters.2.Meter.TotVArhImpQ1,varh,,>I,FALSE,40202,,Total Reactive Energy Imported Quadrant 1,
/Devices/Shirley-MA/North/Inverters/2/Meter/TotVArhImpQ1PhA,Inverters.2.Meter.TotVArhImpQ1PhA,varh,,>I,FALSE,40204,,,
/Devices/Shirley-MA/North/Inverters/2/Meter/TotVArhImpQ1PhB,Inverters.2.Meter.TotVArhImpQ1PhB,varh,,>I,FALSE,40206,,,
/Devices/Shirley-MA/North/Inverters/2/Meter/TotVArhImpQ1PhC,Inverters.2.Meter.TotVArhImpQ1PhC,varh,,>I,FALSE,40208,,,
/Devices/Shirley-MA/North/Inverters/2/Meter/TotVArhImpQ2,Inverters.2.Meter.TotVArhImpQ2,varh,,>I,FALSE,40210,,Total Reactive Power Imported Quadrant 2,
/Devices/Shirley-MA/North/Inverters/2/Meter/TotVArhImpQ2PhA,Inverters.2.Meter.TotVArhImpQ2PhA,varh,,>I,FALSE,40212,,,
/Devices/Shirley-MA/North/Inverters/2/Meter/TotVArhImpQ2PhB,Inverters.2.Meter.TotVArhImpQ2PhB,varh,,>I,FALSE,40214,,,
/Devices/Shirley-MA/North/Inverters/2/Meter/TotVArhImpQ2PhC,Inverters.2.Meter.TotVArhImpQ2PhC,varh,,>I,FALSE,40216,,,
/Devices/Shirley-MA/North/Inverters/2/Meter/TotVArhExpQ3,Inverters.2.Meter.TotVArhExpQ3,varh,,>I,FALSE,40218,,Total Reactive Power Exported Quadrant 3,
/Devices/Shirley-MA/North/Inverters/2/Meter/TotVArhExpQ3PhA,Inverters.2.Meter.TotVArhExpQ3PhA,varh,,>I,FALSE,40220,,,
/Devices/Shirley-MA/North/Inverters/2/Meter/TotVArhExpQ3PhB,Inverters.2.Meter.TotVArhExpQ3PhB,varh,,>I,FALSE,40222,,,
/Devices/Shirley-MA/North/Inverters/2/Meter/TotVArhExpQ3PhC,Inverters.2.Meter.TotVArhExpQ3PhC,varh,,>I,FALSE,40224,,,
/Devices/Shirley-MA/North/Inverters/2/Meter/TotVArhExpQ4,Inverters.2.Meter.TotVArhExpQ4,varh,,>I,FALSE,40226,,Total Reactive Power Exported Quadrant 4,
/Devices/Shirley-MA/North/Inverters/2/Meter/TotVArhExpQ4PhA,Inverters.2.Meter.TotVArhExpQ4PhA,varh,,>I,FALSE,40228,,,
/Devices/Shirley-MA/North/Inverters/2/Meter/TotVArhExpQ4PhB,Inverters.2.Meter.TotVArhExpQ4PhB,varh,,>I,FALSE,40230,,,
/Devices/Shirley-MA/North/Inverters/2/Meter/TotVArhExpQ4PhC,Inverters.2.Meter.TotVArhExpQ4PhC,varh,,>I,FALSE,40232,,,
/Devices/Shirley-MA/North/Inverters/2/Meter/VAr_SF,Inverters.2.Meter.VAr_SF,,,>H,FALSE,40162,,Reactive Power scale factor,
/Devices/Shirley-MA/North/Inverters/2/Meter/Evt,Inverters.2.Meter.Evt,,,>I,FALSE,40235,,Meter Event Flags,
/Devices/Shirley-MA/North/Inverters/2/Meter/Device/CommSt,Inverters.2.Meter.Device.CommSt,,,>H,FALSE,40072,,Overall interface status,
/Devices/Shirley-MA/North/Meter/A,Meter.A,A,,>h,FALSE,40132,,Total AC Current,
/Devices/Shirley-MA/North/Meter/AphA,Meter.AphA,A,,>h,FALSE,40133,,Phase A Current,
/Devices/Shirley-MA/North/Meter/AphB,Meter.AphB,A,,>h,FALSE,40134,,Phase B Current,
/Devices/Shirley-MA/North/Meter/AphC,Meter.AphC,A,,>h,FALSE,40135,,Phase C Current,
/Devices/Shirley-MA/North/Meter/PhV,Meter.PhV,V,,>h,FALSE,40137,,Line to Neutral AC Voltage (average of active phases),
/Devices/Shirley-MA/North/Meter/PhVphA,Meter.PhVphA,V,,>h,FALSE,40138,,Phase Voltage AN,
/Devices/Shirley-MA/North/Meter/PhVphB,Meter.PhVphB,V,,>h,FALSE,40139,,Phase Voltage BN,
/Devices/Shirley-MA/North/Meter/PhVphC,Meter.PhVphC,V,,>h,FALSE,40140,,Phase Voltage CN,
/Devices/Shirley-MA/North/Meter/PPV,Meter.PPV,V,,>h,FALSE,40141,,Line to Line AC Voltage (average of active phases),
/Devices/Shirley-MA/North/Meter/Hz,Meter.Hz,Hz,,>h,FALSE,40146,,Frequency,
/Devices/Shirley-MA/North/Meter/W,Meter.W,W,,>h,FALSE,40148,,Total Real Power,
/Devices/Shirley-MA/North/Meter/WphA,Meter.WphA,W,,>h,FALSE,40149,,,
/Devices/Shirley-MA/North/Meter/WphB,Meter.WphB,W,,>h,FALSE,40150,,,
/Devices/Shirley-MA/North/Meter/WphC,Meter.WphC,W,,>h,FALSE,40151,,,
/Devices/Shirley-MA/North/Meter/W_SF,Meter.W_SF,,,>H,FALSE,40152,,Real Power scale factor,
/Devices/Shirley-MA/North/Meter/VA,Meter.VA,VA,,>h,FALSE,40153,,AC Apparent Power,
/Devices/Shirley-MA/North/Meter/VAphA,Meter.VAphA,VA,,>h,FALSE,40154,,,
/Devices/Shirley-MA/North/Meter/VAphB,Meter.VAphB,VA,,>h,FALSE,40155,,,
/Devices/Shirley-MA/North/Meter/VAphC,Meter.VAphC,VA,,>h,FALSE,40156,,,
/Devices/Shirley-MA/North/Meter/VA_SF,Meter.VA_SF,,,>H,FALSE,40157,,Apparent Power scale factor,
/Devices/Shirley-MA/North/Meter/VAR,Meter.VAR,var,,>h,FALSE,40158,,Reactive Power,
/Devices/Shirley-MA/North/Meter/VARphA,Meter.VARphA,var,,>h,FALSE,40159,,,
/Devices/Shirley-MA/North/Meter/VARphB,Meter.VARphB,var,,>h,FALSE,40160,,,
/Devices/Shirley-MA/North/Meter/VARphC,Meter.VARphC,var,,>h,FALSE,40161,,,
/Devices/Shirley-MA/North/Meter/PF,Meter.PF,Pct,,>h,FALSE,40163,,Power Factor,
/Devices/Shirley-MA/North/Meter/PFphA,Meter.PFphA,Pct,,>h,FALSE,40164,,,
/Devices/Shirley-MA/North/Meter/PFphB,Meter.PFphB,Pct,,>h,FALSE,40165,,,
/Devices/Shirley-MA/North/Meter/PFphC,Meter.PFphC,Pct,,>h,FALSE,40166,,,
/Devices/Shirley-MA/North/Meter/PF_SF,Meter.PF_SF,,,>H,FALSE,40167,,Power Factor scale factor,
/Devices/Shirley-MA/North/Meter/TotWhExp,Meter.TotWhExp,Wh,,>I,FALSE,40168,,Total Real Energy Exported,
/Devices/Shirley-MA/North/Meter/TotWhExpPhA,Meter.TotWhExpPhA,Wh,,>I,FALSE,40170,,,
/Devices/Shirley-MA/North/Meter/TotWhExpPhB,Meter.TotWhExpPhB,Wh,,>I,FALSE,40172,,,
/Devices/Shirley-MA/North/Meter/TotWhExpPhC,Meter.TotWhExpPhC,Wh,,>I,FALSE,40174,,,
/Devices/Shirley-MA/North/Meter/TotWhImp,Meter.TotWhImp,Wh,,>I,FALSE,40176,,Total Real Energy Imported,
/Devices/Shirley-MA/North/Meter/TotWhImpPhA,Meter.TotWhImpPhA,Wh,,>I,FALSE,40178,,,
/Devices/Shirley-MA/North/Meter/TotWhImpPhB,Meter.TotWhImpPhB,Wh,,>I,FALSE,40180,,,
/Devices/Shirley-MA/North/Meter/TotWhImpPhC,Meter.TotWhImpPhC,Wh,,>I,FALSE,40182,,,
/Devices/Shirley-MA/North/Meter/TotWH_SF,Meter.TotWH_SF,,,>H,FALSE,40184,,Real Energy scale factor,
/Devices/Shirley-MA/North/Meter/TotVAhExp,Meter.TotVAhExp,VAh,,>I,FALSE,40185,,Total Apparent Energy Exported,
/Devices/Shirley-MA/North/Meter/TotVAhExpPhA,Meter.TotVAhExpPhA,VAh,,>I,FALSE,40187,,,
/Devices/Shirley-MA/North/Meter/TotVAhExpPhB,Meter.TotVAhExpPhB,VAh,,>I,FALSE,40189,,,
/Devices/Shirley-MA/North/Meter/TotVAhExpPhC,Meter.TotVAhExpPhC,VAh,,>I,FALSE,40191,,,
/Devices/Shirley-MA/North/Meter/TotVAhImp,Meter.TotVAhImp,VAh,,>I,FALSE,40193,,Total Apparent Energy Imported,
/Devices/Shirley-MA/North/Meter/TotVAhImpPhA,Meter.TotVAhImpPhA,VAh,,>I,FALSE,40195,,,
/Devices/Shirley-MA/North/Meter/TotVAhImpPhB,Meter.TotVAhImpPhB,VAh,,>I,FALSE,40197,,,
/Devices/Shirley-MA/North/Meter/TotVAhImpPhC,Meter.TotVAhImpPhC,VAh,,>I,FALSE,40199,,,
/Devices/Shirley-MA/North/Meter/TotVArhImpQ1,Meter.TotVArhImpQ1,varh,,>I,FALSE,40202,,Total Reactive Energy Imported Quadrant 1,
/Devices/Shirley-MA/North/Meter/TotVArhImpQ1PhA,Meter.TotVArhImpQ1PhA,varh,,>I,FALSE,40204,,,
/Devices/Shirley-MA/North/Meter/TotVArhImpQ1PhB,Meter.TotVArhImpQ1PhB,varh,,>I,FALSE,40206,,,
/Devices/Shirley-MA/North/Meter/TotVArhImpQ1PhC,Meter.TotVArhImpQ1PhC,varh,,>I,FALSE,40208,,,
/Devices/Shirley-MA/North/Meter/TotVArhImpQ2,Meter.TotVArhImpQ2,varh,,>I,FALSE,40210,,Total Reactive Power Imported Quadrant 2,
/Devices/Shirley-MA/North/Meter/TotVArhImpQ2PhA,Meter.TotVArhImpQ2PhA,varh,,>I,FALSE,40212,,,
/Devices/Shirley-MA/North/Meter/TotVArhImpQ2PhB,Meter.TotVArhImpQ2PhB,varh,,>I,FALSE,40214,,,
/Devices/Shirley-MA/North/Meter/TotVArhImpQ2PhC,Meter.TotVArhImpQ2PhC,varh,,>I,FALSE,40216,,,
/Devices/Shirley-MA/North/Meter/TotVArhExpQ3,Meter.TotVArhExpQ3,varh,,>I,FALSE,40218,,Total Reactive Power Exported Quadrant 3,
/Devices/Shirley-MA/North/Meter/TotVArhExpQ3PhA,Meter.TotVArhExpQ3PhA,varh,,>I,FALSE,40220,,,
/Devices/Shirley-MA/North/Meter/TotVArhExpQ3PhB,Meter.TotVArhExpQ3PhB,varh,,>I,FALSE,40222,,,
/Devices/Shirley-MA/North/Meter/TotVArhExpQ3PhC,Meter.TotVArhExpQ3PhC,varh,,>I,FALSE,40224,,,
/Devices/Shirley-MA/North/Meter/TotVArhExpQ4,Meter.TotVArhExpQ4,varh,,>I,FALSE,40226,,Total Reactive Power Exported Quadrant 4,
/Devices/Shirley-MA/North/Meter/TotVArhExpQ4PhA,Meter.TotVArhExpQ4PhA,varh,,>I,FALSE,40228,,,
/Devices/Shirley-MA/North/Meter/TotVArhExpQ4PhB,Meter.TotVArhExpQ4PhB,varh,,>I,FALSE,40230,,,
/Devices/Shirley-MA/North/Meter/TotVArhExpQ4PhC,Meter.TotVArhExpQ4PhC,varh,,>I,FALSE,40232,,,
/Devices/Shirley-MA/North/Meter/VAr_SF,Meter.VAr_SF,,,>H,FALSE,40162,,Reactive Power scale factor,
/Devices/Shirley-MA/North/Meter/Evt,Meter.Evt,,,>I,FALSE,40235,,Meter Event Flags,
/Devices/Shirley-MA/North/PMC/Device/CommSt,PMC.Device.CommSt,,,>H,FALSE,40072,,Overall interface status,
/Devices/Shirley-MA/North/PMC/PmcSystemGuard/GSHeartBeat,PMC.PmcSystemGuard.GSHeartBeat,,,>H,FALSE,40485,,Counter.  Updated Every 10 seconds.  Resets daily.,
/Devices/Shirley-MA/North/PMC/PmcSystemGuard/PMCWatchDog,PMC.PmcSystemGuard.PMCWatchDog,,,>H,TRUE,40486,,Must be kicked every 100 seconds or PMC will go into Auto Mode.,
/Devices/Shirley-MA/North/Recloser/Device/CommSt,Recloser.Device.CommSt,,,>H,FALSE,40072,,Overall interface status,
/Devices/Shirley-MA/North/Weather/BaseMet/TmpAmb,Weather.BaseMet.TmpAmb,C,,>h,FALSE,40464,,Ambient Temperature,
/Devices/Shirley-MA/North/Weather/BaseMet/RH,Weather.BaseMet.RH,Pct,,>h,FALSE,40465,,Relative Humidity,
/Devices/Shirley-MA/North/Weather/BaseMet/Pres,Weather.BaseMet.Pres,HPa,,>h,FALSE,40466,,Barometric Pressure,
/Devices/Shirley-MA/North/Weather/BaseMet/WndSpd,Weather.BaseMet.WndSpd,mps,,>h,FALSE,40467,,Wind Speed,
/Devices/Shirley-MA/North/Weather/BaseMet/WndDir,Weather.BaseMet.WndDir,deg,,>h,FALSE,40468,,Wind Direction,
/Devices/Shirley-MA/North/Weather/Device/CommSt,Weather.Device.CommSt,,,>H,FALSE,40072,,Overall interface status,
/Devices/Shirley-MA/North/Weather/Irradiance/GHI,Weather.Irradiance.GHI,W/m2,,>H,FALSE,40453,,Global Horizontal Irradiance,
/Devices/Shirley-MA/North/Weather/Irradiance/POAI,Weather.Irradiance.POAI,W/m2,,>H,FALSE,40454,,Plane-of-Array Irradiance,
/Devices/Shirley-MA/North/Weather/Irradiance/DFI,Weather.Irradiance.DFI,W/m2,,>H,FALSE,40455,,Diffuse Irradiance,
/Devices/Shirley-MA/North/Weather/Irradiance/DNI,Weather.Irradiance.DNI,W/m2,,>H,FALSE,40456,,Direct Normal Irradiance,
/Devices/Shirley-MA/North/Weather/Irradiance/OTI,Weather.Irradiance.OTI,W/m2,,>H,FALSE,40457,,Other Irradiance,
/Devices/Shirley-MA/North/XferRelay/Device/CommSt,XferRelay.Device.CommSt,,,>H,FALSE,40072,,Overall interface status,
