Name,Kind,Description
absorption,Marker,
ac,Marker,
active,Marker,
ahu,Marker,
ahuRef,Ref,references equip id
air,Marker,
airCooled,Marker,
angle,Marker,
apparent,Marker,
area,Number,
avg,Marker,
barometric,Marker,
blowdown,Marker,
boiler,Marker,
bypass,Marker,
centrifugal,Marker,
chilled,Marker,
chilledBeamZone,Marker,
chilledWaterCool,Marker,
chilledWaterPlant,Marker,
chilledWaterPlantRef,Ref,references equip id
chiller,Marker,
circ,Marker,
circuit,Marker,
closedLoop,Marker,
cloudage,Marker,
cmd,Marker,
co,Marker,
co2,Marker,
coldDeck,Marker,
condensate,Marker,
condenser,Marker,
connection,Marker,
constantVolume,Marker,
cool,Marker,
coolOnly,Marker,
cooling,Marker,
coolingCapacity,Number,
coolingTower,Marker,
cur,Marker,
curErr,Str,
curStatus,Str,
curVal,Obj,
current,Marker,
damper,Marker,
dc,Marker,
delta,Marker,
device,Marker,
device1Ref,Ref,device id
device2Ref,Ref,device id
dew,Marker,
directZone,Marker,
direction,Marker,
dis,Str,
discharge,Marker,
diverting,Marker,
domestic,Marker,
dualDuct,Marker,
ductArea,Marker,
dxCool,Marker,
effective,Marker,
efficiency,Marker,
elec,Marker,
elecHeat,Marker,
elecMeterLoad,Ref,references equip id
elecMeterRef,Ref,references equip id
elecPanel,Marker,
elecPanelOf,Ref,references equip id
elecReheat,Marker,
enable,Marker,
energy,Marker,
entering,Marker,
enum,Str,
equip,Marker,
equipRef,Ref,references equip id
evaporator,Marker,
exhaust,Marker,
export,Marker,
faceBypass,Marker,
fan,Marker,
fanPowered,Marker,
fcu,Marker,
filter,Marker,
flow,Marker,
flue,Marker,
freezeStat,Marker,
freq,Marker,
gas,Marker,
gasHeat,Marker,
gasMeterLoad,Ref,references equip id
geoAddr,Str,
geoCity,Str,
geoCoord,Coord,
geoCountry,Str,
geoCounty,Str,
geoPostalCode,Str,
geoState,Str,
geoStreet,Str,
header,Marker,
heat,Marker,
heatExchanger,Marker,
heatPump,Marker,
heatWheel,Marker,
heating,Marker,
his,Marker,
hisErr,Str,
hisInterpolate,Str,
hisStatus,Str,
hisTotalized,Marker,
hot,Marker,
hotDeck,Marker,
hotWaterHeat,Marker,
hotWaterPlant,Marker,
hotWaterPlantRef,Ref,references equip id
hotWaterReheat,Marker,
humidifier,Marker,
humidity,Marker,
hvac,Marker,
id,Ref,unique id for the entity
imbalance,Marker,
import,Marker,
irradiance,Marker,
isolation,Marker,
kind,Str,
leaving,Marker,
level,Marker,
lightLevel,Marker,
lighting,Marker,
lights,Marker,
lightsGroup,Marker,
load,Marker,
mag,Marker,
makeup,Marker,
mau,Marker,
max,Marker,
maxVal,Number,
meter,Marker,
min,Marker,
minVal,Number,
mixed,Marker,
mixing,Marker,
multiZone,Marker,
net,Marker,
network,Marker,
neutralDeck,Marker,
occ,Marker,
occupancyIndicator,Marker,
occupied,Marker,
oil,Marker,
openLoop,Marker,
outside,Marker,
parallel,Marker,
perimeterHeat,Marker,
pf,Marker,
phase,Str,
point,Marker,
power,Marker,
precipitation,Marker,
pressure,Marker,
pressureDependent,Marker,
pressureIndependent,Marker,
primaryFunction,Str,
primaryLoop,Marker,
protocol,Str,
pump,Marker,
reactive,Marker,
reciprocal,Marker,
refrig,Marker,
reheat,Marker,
reheating,Marker,
return,Marker,
rooftop,Marker,
run,Marker,
screw,Marker,
secondaryLoop,Marker,
sensor,Marker,
series,Marker,
singleDuct,Marker,
site,Marker,
siteMeter,Marker,
sitePanel,Marker,
siteRef,Ref,references site id
solar,Marker,
sp,Marker,
speed,Marker,
stage,Number,
standby,Marker,
steam,Marker,
steamHeat,Marker,
steamMeterLoad,Ref,references equip id
steamPlant,Marker,
steamPlantRef,Ref,references equip id
subPanelOf,Ref,references equip id
submeterOf,Ref,references equip id
sunrise,Marker,
tank,Marker,
temp,Marker,
thd,Marker,
total,Marker,
tripleDuct,Marker,
tz,Str,
unit,Str,
unocc,Marker,
uv,Marker,
valve,Marker,
variableVolume,Marker,
vav,Marker,
vavMode,Marker,
vavZone,Marker,
vfd,Marker,
visibility,Marker,
volt,Marker,
volume,Marker,
water,Marker,
waterCooled,Marker,
waterMeterLoad,Ref,references equip id
weather,Marker,
weatherCond,Marker,
weatherPoint,Marker,
weatherRef,Ref,references weather id
wetBulb,Marker,
wind,Marker,
writable,Marker,
writeErr,Str,
writeLevel,Number,
writeStatus,Str,
writeVal,Obj,
yearBuilt,Number,
zone,Marker,
campus,Marker,
campusRef,Ref,references campus id
volttronPointName,Str,"logical name for the point. Point name used by volttron"
pointName,Str,point name provided by device