name,kind,description
absorption,Marker,"Indicates a chiller which uses absorption driven by hot water (as opposed to vapor compression)."
ac,Marker,"Indicates an alternating current (AC) electrical quantity or device."
active,Marker,"Applied to an electrical power point to indicate active power or real power typically measured in ""kW""."
ahu,Marker,"Air Handler Unit which heats and/or cools air."
ahuRef,Ref,"Associate an entity such as a vav with an ahu. References equip id"
air,Marker,"Point associated with the measurement or control of air."
airCooled,Marker,"Indicates chiller which uses air to cool the hot refrigerant."
angle,Marker,"Indicates an angle measurement."
apparent,Marker,"Applied to an electrical power point to indicate apparent power typically measured in ""kVA""."
area,Number,"Floor area of a site measured in ft² or m²."
avg,Marker,"Indicates an average quantity."
barometric,Marker,"Defines the mean atmospheric pressure at sea level measured in millibar or inHg."
blowdown,Marker,"Paired with water to indicate control or measurement of the blowdown water expelled from a coolingTower or boiler to remove mineral build up."
boiler,Marker,"Boiler equip used to generate hot water or steam for heating."
bypass,Marker,"If used with valve indicates a by-pass in a piping system."
centrifugal,Marker,"Indicates chiller compressor which uses a continuous flow of fluid through an impeller."
chilled,Marker,"Marker tag used with water for the chilled water system between the plant and ahu."
chilledBeamZone,Marker,"Marker for an ahu which delivers air to zones via chilled beam terminal units."
chilledWaterCool,Marker,"Indicates that a unit has cooling capability using chilled water."
chilledWaterPlant,Marker,"Models the entire plant and its system of equipment used to generate chilled water."
chilledWaterPlantRef,Ref,"Associate a record such as an ahu with its chilledWaterPlant. References equip id"
chiller,Marker,"Chillers remove heat from a liquid via a vapor compression or an absorption refrigeration cycle."
circ,Marker,"Indicates a pump designed to circulate a fluid through an equipment such as a boiler."
circuit,Marker,"An equip which models an electric circuit housed in an elecPanel."
closedLoop,Marker,"Indicates coolingTower which keeps the working fluid separate from the fluid used for heat transfer into the atmosphere."
cloudage,Marker,"The fraction of the sky obscured by clouds."
cmd,Marker,"Classifies a point as an output AO/BO command or actuator."
co,Marker,"Carbon monoxide level point measured in ""ppm""."
co2,Marker,"Carbon dioxide level point measured in ""ppm""."
coldDeck,Marker,"Associated with the cold air ductwork in a dualDuct or tripleDuct AHU."
condensate,Marker,"Paired with water to indicate control or measurement of the condensate water in a coolingTower or boiler."
condenser,Marker,"When combined with the water tag this indicates points in a condenser water system between a chiller and coolingTower."
connection,Marker,"Marker tag for a logical network connection between two devices using a specific communications protocol."
constantVolume,Marker,"Marks an ahu as delivering a constant volume of air flow."
cool,Marker,"Cooling coil as bool or numeric point used with ahu equip."
cooling,Marker,"Indicates a cooling only VAV without a fan."
coolingCapacity,Number,"Associated with the cooling mode of an HVAC system."
coolingTower,Marker,"Measurement of a chiller ability to remove heat measured in ""tonref"" ""BTU/h"" or ""kW""."
coolOnly,Marker,"Cooling towers are used to transfer process waste heat to the atmosphere."
cur,Marker,"Marker tag which indicates the point has capability for subscription to its real-time current value."
curErr,Str,"Error message associated when curStatus indicates an error condition."
current,Marker,"Current status of a point curVal as one of the predefined strings"
curStatus,Str,"Current value of a point or other value record"
curVal,Obj,"Models a point associated with electrical current; should be paired with one of the following tags"
damper,Marker,"Marker tag on point which indicates a damper used to regulate or control the flow or pressure of air."
dc,Marker,"Indicates a direct current (DC) electrical quantity or device."
delta,Marker,"Indicates a differential of air water or steam between the entering and leaving sensors."
device,Marker,"Models a physical device on a communication network."
device1Ref,Ref,"Models the first end point device of a connection. References device id"
device2Ref,Ref,"Models the second end point device of a connection.  References device id"
dew,Marker,"Defines the dew point temperature of a weather station."
direction,Marker,"Marker for an ahu which delivers air directly to a zone."
directZone,Marker,"Cardinal or compass direction measured in degrees"
dis,Str,"Short display name for an entity."
discharge,Marker,"Associated with the discharge air an ahu or vav."
diverting,Marker,"Indicates a three way valve which inputs one pipe and diverts between two output pipes."
domestic,Marker,"Paired with water to indicate control or measurement of tap water used for drinking washing cooking and flushing of toliets."
dualDuct,Marker,"Indicates an ahu which discharges into two ducts which are some combinatin of hotDeck coldDeck or neutralDeck."
ductArea,Marker,"Config point on a vav for duct area measured in ft² or m²."
dxCool,Marker,"Indicates that a unit has cooling capability using direct expansion mechanical cooling."
effective,Marker,"Used to indicate the effective setpoint which takes into account various other mode based setpoints the equip might define."
efficiency,Marker,"Efficiency point of a chiller measured in ""COP"" or ""kW/ton""."
elec,Marker,"Used on point or equip entities relating to electricity."
elecHeat,Marker,"Indicates that a unit has heating capability using electric heat."
elecMeterLoad,Ref,"Equip or point which consumes energy as electrial load. References equip id"
elecMeterRef,Ref,"Associates a piece of equipment with an elec meter. References equip id"
elecPanel,Marker,"An equip which models the physical housing for electric circuits."
elecPanelOf,Ref,"Associates a circuit with its elecPanel. References equip id"
elecReheat,Marker,"Indicates a VAV with electric reheat."
enable,Marker,"Secondary on/off point of an equip especially used with a vfd."
energy,Marker,"Applied to point entities which measure energy consumption."
entering,Marker,"Indicates water or steam entering a piece of equipment like a boiler or chiller."
enum,Str,"Comma separated list of text names to use for Bool or Str point."
equip,Marker,"Equipment asset."
equipRef,Ref,"Association with an equip entity. References equip id"
evaporator,Marker,"Indicates points on the evaporator mechanism used to convert a refrigerant from its liquid to gageous state."
exhaust,Marker,"Associated with the exhaust air an ahu."
export,Marker,"Models the power or energy exported to the electric grid."
faceBypass,Marker,"A point of an ahu indicating air flow is by-passing the heating/cooling elements."
fan,Marker,"Fan point or equip associated with an ahu vav or coolingTower."
fanPowered,Marker,"Indicates a VAV with a fan."
fcu,Marker,"Fan coil units are unitary heating/cooling assets which use the zone itself for supply air."
filter,Marker,"Differential pressure across the filter of an ahu."
flow,Marker,"Marker tag on a point which measures rate of volume currently flowing through a flow meter duct or pipe ."
flue,Marker,"Indicates points placed in the flue-gas stack of a boiler system."
freezeStat,Marker,"A boolean point of an ahu indicating a freezing condition which might require a control sequence to protect the equipment."
freq,Marker,"Electrical A/C frequency point measured in ""Hz"" for elec meter or a vfd."
gas,Marker,"Used on point or equip entities relating to natural gas."
gasHeat,Marker,"Indicates that a unit has heating capability using gas heat."
gasMeterLoad,Ref,"Equip or point which consumes fuel gas as load. References equip id"
geoAddr,Str,"Geographic street address."
geoCity,Str,"Geographic city or locality name."
geoCoord,Coord,"Geographic coordinate as ""C(latitude,longitude)"""
geoCountry,Str,"Geographic country as ISO 3166-1 two letter code."
geoCounty,Str,"Geographic subdivision of US state."
geoPostalCode,Str,"Geographic postal code; for US this is a five digit zip code."
geoState,Str,"State or province name; for US this is two letter state code."
geoStreet,Str,"Geographic street number and name."
header,Marker,"Header pipe used as central connection or manifold for other piping runs."
heat,Marker,"Heating coil as bool or float point on an ahu or vav."
heatExchanger,Marker,"Heat exchangers are used to transfer heat from one medium to another."
heating,Marker,"Heat pumps are unitary assets which use a refrigeration cycle for both heating and cooling."
heatPump,Marker,"Bool point which models the on or off state of an ahu heat wheel."
heatWheel,Marker,"Associated with the heating mode of an HVAC system."
his,Marker,"Indicates that a point is historized with a history log of timestamp/value pairs."
hisErr,Str,"Error message associated when hisStatus indicates an error condition."
hisInterpolate,Str,"Indicates how interpolation of a historized point should be handled."
hisStatus,Str,"Current status of a point history sync as one of the predefined strings"
hisTotalized,Marker,"Indicates values which are a continuous stream of totalization and should be read by computing the delta."
hot,Marker,"Paired with water to indicate control or measurement of hot water."
hotDeck,Marker,"Associated with the hot air ductwork in a dualDuct or tripleDuct AHU."
hotWaterHeat,Marker,"Indicates that a unit has heating capability using hot water."
hotWaterPlant,Marker,"Plant level tag for system which outputs hot water"
hotWaterPlantRef,Ref,"Associate an entity such as an ahu with its hotWaterPlant. References equip id"
hotWaterReheat,Marker,"Indicates a VAV with hot water reheat."
humidifier,Marker,"Boolean or numeric point of an ahu used to indicate if if the humidifier is on or off."
humidity,Marker,"Humidity measured in %RH (percent relative humidity)."
hvac,Marker,"Associated with HVAC (Heating Ventilating Air Conditioning)"
id,Ref,"Unique identifier for an entity."
imbalance,Marker,"In electrical power systems models an ac volt or current phase imbalance measured in ""%""."
import,Marker,"Models the power or energy imported from the electric grid."
irradiance,Marker,"Combined with solar to measure the amount of energy arriving at the earth's surface measured in W/m²."
isolation,Marker,"Indicates a valve or damper used to isolate a piece of equipment from a piping system or ductwork respectively."
kind,Str,"Defines a tag value type using a predefined string constant."
leaving,Marker,"Indicates water or steam exiting a piece of equipment like a boiler or chiller."
level,Marker,"Indicates the fill level of a tank as a percentage where 0% is empty and 100% is filled."
lighting,Marker,"Light level sensor point under lightsGroup measured in ""lux"" or ""lumen""."
lightLevel,Marker,"Indicates association with the lighting system."
lights,Marker,"Lighting on/off status as a boolean or if dimmable a numeric between 0% and 100%."
lightsGroup,Marker,"Equip level of the lighting system which is a group of one or more lights points."
load,Marker,"Models a point on a chiller used to command or measure the chiller's load as a percentage from ""0%"" to ""100%""."
mag,Marker,"Models the magnitude of a volt or current point."
makeup,Marker,"Paired with water to indicate control or measurement of the makeup water in a coolingTower or boiler used to replace water lost through leaks evaporation or blowdown."
mau,Marker,"Used with ahu to mark an AHU as a makeup air handling unit which conditions 100% outside air and no recirculated air."
max,Marker,"Associated with a maximum value."
maxVal,Number,"Applied to point to define the maximum value to read from a sensor or to write from a command/setpoint."
meter,Marker,"Equip which meters usage of elec energy thermal energy gas water or steam."
min,Marker,"Associated with a minimum value."
minVal,Number,"Applied to point to define the minimum value to read from a sensor or to write from a command/setpoint."
mixed,Marker,"Associated with the mixed air of an ahu."
mixing,Marker,"Indicates a three way valve which inputs two pipes and outputs a mixture between the two to a single output pipe."
multiZone,Marker,"Marker for an ahu which delivers air to its zones via a ductwork manifold which splits the air into a duct per zone."
net,Marker,"Models the net power or energy exchange with the electric grid following the load convention: import minus export."
network,Marker,"Network models a communication network between multiple devices."
neutralDeck,Marker,"Models the network of a connection"
occ,Marker,"Associated with the neutral air ductwork in a dualDuct or tripleDuct AHU."
occupancyIndicator,Marker,"Marker tag used to indicate a setpoint is associated with occupied mode."
occupied,Marker,"Occupancy sensor under lightsGroup."
oil,Marker,"Marker tag used with a boolean point to indicate whether a site or zone is occupied (true) or unoccupied (false)."
openLoop,Marker,"Used on point or equip entities relating to fuel oil."
outside,Marker,"Indicates coolingTower which uses the working fluid itself for evaporation into the atmosphere."
parallel,Marker,"Associated with outside air often used to model ahu points."
perimeterHeat,Marker,"Indicates the VAV fan pulls air from outside the primary airflow."
pf,Marker,"Auxiliary heating points associated with a vav."
phase,Str,"Power factor of an elec meter as a unitless number between 0.0 and 1.0 which represents the ratio of active power to apparent power."
point,Marker,"Association of one or more phases in a three-phase electrical system."
pointName,Str,"Data point such as a sensor or actuator."
power,Marker,"Applied to point entities which measure energy consumed per unit time."
precipitation,Marker,"Amount of atmospheric water vapor fallen which includes rain drizzle sleet snow and hail measured in mm or inches."
pressure,Marker,"Static pressure associated with the measurement or control of fluids such as air oxygen water steam gas oil etc."
pressureDependent,Marker,"VAV damper modulates to control space temp."
pressureIndependent,Marker,"VAV damper or a control valve that modulates to maintain desired flow setpoint independent of the duct or piping pressure."
primaryFunction,Str,"Enumerated string applied to a site record to indicate the building's primary function."
primaryLoop,Marker,"Indicates equipment and points which are associated with a chiller or boiler plant's primary loop - the pipework within the central plant."
protocol,Str,"String enumeration for a connection communication protocol."
pump,Marker,"Marker tag for an equip or point which models a pump."
reactive,Marker,"Applied to an electrical power point to indicate reactive power or imaginary power typically measured in ""kVAR""."
reciprocal,Marker,"Indicates chiller compressor which uses pistons driven by a crankshaft."
refrig,Marker,"Indicates points associated with the measurment or control of the refrigerant substance in a cooling system like a chiller."
reheat,Marker,"Reheat point of a vav."
reheating,Marker,"Associated with the reheating mode of a VAV."
return,Marker,"Associated with the return air an ahu."
rooftop,Marker,"Used with ahu to mark an AHU as a packaged rooftop unit (RTU)."
run,Marker,"Primary on/off point of an equip especially used with a vfd."
screw,Marker,"Indicates chiller compressor which uses a rotary mechanism."
secondaryLoop,Marker,"Indicates equipment and points which are associated with a chiller or boiler plant's secondary loop - the pipework from the central plant to the building."
sensor,Marker,"Classifies a point as an input AI/BI or sensor."
series,Marker,"Indicates the VAV pulls air from the primary airflow."
singleDuct,Marker,"Indicates an ahu which uses a single duct for all air flow."
site,Marker,"Building or other type of facility with unique street address."
siteMeter,Marker,"Applied to a meter which exclusively meters a single site identified by siteRef."
sitePanel,Marker,"Marker tag for a elecPanel to indicate its the main site-level panel."
siteRef,Ref,"Association with a site entity. References site id"
solar,Marker,"Point associated with the measurement of the sunlight."
sp,Marker,"Classifies a point as a setpoint soft point or process control variable."
speed,Marker,"When used as a vfd point it is speed measured in ""%"" where 0% is off and 100% is the fastest speed."
stage,Number,"Indicates the stage of an AHU cooling or heating element."
standby,Marker,"Marker tag used to indicate a setpoint is associated with standby mode."
steam,Marker,"Point associated with the measurement or control of steam."
steamHeat,Marker,"Indicates that a unit has heating capability using steam."
steamMeterLoad,Ref,"Equip or point which consumes steam as load. References equip id"
steamPlant,Marker,"Plant level tag for system which outputs steam"
steamPlantRef,Ref,"Associate an entity such as an ahu with its steamPlant. References equip id"
submeterOf,Ref,"Ref tag to indicate that an elecPanel is positioned underneath another panel in the electric distribution system. References equip id"
subPanelOf,Ref,"This tag is applied to submeters and references the parent meter. References equip id"
sunrise,Marker,"Boolean point associated with a weather station for historizing sunrise and sunset times."
tank,Marker,"Marker tag for an equip which models a storage tank vessel."
temp,Marker,"Temperature measured in °C or °F."
thd,Marker,"In electrical power systems models the total harmonic distortion of a volt or current point measured in ""%""."
total,Marker,"Indicates a total quantity."
tripleDuct,Marker,"Indicates an ahu which discharges into three ducts which are the hotDeck coldDeck and neutralDeck."
tz,Str,"Timezone identifier string which is a city name from the zoneinfo database."
unit,Str,"Unit of measurement identifier from unit database."
unocc,Marker,"Marker tag used to indicate a setpoint is associated with unoccupied mode."
uv,Marker,"Unit ventilators are unitary heating/cooling assets which have direct access to outside fresh air."
valve,Marker,"Marker tag on point which indicates a valve used to regulate or control the flow or pressure of a fluid."
variableVolume,Marker,"Marks an ahu as delivering a variable volume of air flow."
vav,Marker,"Variable Volume Volume supply duct equip."
vavMode,Marker,"Enumerated Str point which specifies a VAV's operating mode as one the following standardized string values"
vavZone,Marker,"Marker for an ahu which delivers air to zones via vav terminal units."
vfd,Marker,"Marker for a motor equip with variable frequency drive."
visibility,Marker,"Distance at which light can be clearly discerned measured in km or miles."
volt,Marker,"Models a point associated with electrical voltage; should be paired with one of the following tags"
volume,Marker,"Marker tag on a point which measures total volume which has flowed through a meter duct or pipe."
water,Marker,"Point associated with the measurement or control of water."
waterCooled,Marker,"Indicates chiller which uses water to cool the hot refrigerant."
waterMeterLoad,Ref,"Equip or point which consumes water as load. References equip id"
weather,Marker,"Marker tag for a weather station entity."
weatherCond,Marker,"Used with a Str enum point to enumerate conditions with one of the following string values"
weatherPoint,Marker,"Point sensor value associated with a weather station."
weatherRef,Ref,"Associates an entity with a weather station. References weather id"
wetBulb,Marker,"Associates a point with the wet-bulb temperature."
wind,Marker,"Point associated with the measurement of the wind."
writable,Marker,"Annotates a point as a writable output with 16-level priority array."
writeErr,Str,"Error message associated when writeStatus indicates an error condition."
writeLevel,Number,"Current priority level for writeVal as number between 1 and 17."
writeStatus,Str,"Current status of a writable point output"
writeVal,Obj,"Current desired value to write to output."
yearBuilt,Number,"Tag on site which is four digit year that a building was first built."
zone,Marker,"Associated with a conditioned zone of a building."
volttronPointName,Str,"Logical name for the point. Point name used by VOLTTRON"
campus,Marker,"Marks a campus that might have one or more site/building"
campusRef,Ref,"References campus id"
